external_id,first_name,last_name,full_name,display_name,short_name,team_id
4429927,Neal,Johnson,Neal Johnson,Neal Johnson,N. Johnson,20
2310331,Tyler,Johnson,Tyler Johnson,Tyler Johnson,T. Johnson,20
4361417,Zack,Kuntz,Zack Kuntz,Zack Kuntz,Z. Kuntz,20
3128390,Allen,Lazard,Allen Lazard,Allen Lazard,A. Lazard,20
4373951,Kohl,Levao,Kohl Levao,Kohl Levao,K. Levao,20
4361182,Adrian,Martinez,Adrian Martinez,Adrian Martinez,A. Martinez,20
4789907,Armand,Membou,Armand Membou,Armand Membou,A. Membou,20
4775266,Dymere,Miller,Dymere Miller,Dymere Miller,D. Miller,20
4373656,Max,Mitchell,Max Mitchell,Max Mitchell,M. Mitchell,20
4242000,Josh,Myers,Josh Myers,Josh Myers,J. Myers,20
4259186,Xavier,Newman,Xavier Newman,Xavier Newman,X. Newman,20
4035537,Kene,Nwangwu,Kene Nwangwu,Kene Nwangwu,K. Nwangwu,20
3129473,Chukwuma,Okorafor,Chukwuma Okorafor,Chukwuma Okorafor,C. Okorafor,20
4892576,Jamaal,Pritchett,Jamaal Pritchett,Jamaal Pritchett,J. Pritchett,20
3115306,Josh,Reynolds,Josh Reynolds,Josh Reynolds,J. Reynolds,20
4361372,Jeremy,Ruckert,Jeremy Ruckert,Jeremy Ruckert,J. Ruckert,20
4035479,John,Simpson,John Simpson,John Simpson,J. Simpson,20
4613050,Quentin,Skinner,Quentin Skinner,Quentin Skinner,Q. Skinner,20
4250764,Stone,Smartt,Stone Smartt,Stone Smartt,S. Smartt,20
4429105,Arian,Smith,Arian Smith,Arian Smith,A. Smith,20
4240577,Brandon,Smith,Brandon Smith,Brandon Smith,B. Smith,20
4808766,Mason,Taylor,Mason Taylor,Mason Taylor,M. Taylor,20
14163,Tyrod,Taylor,Tyrod Taylor,Tyrod Taylor,T. Taylor,20
4428681,Joe,Tippmann,Joe Tippmann,Joe Tippmann,J. Tippmann,20
4259646,Alijah,Vera-Tucker,Alijah Vera-Tucker,Alijah Vera-Tucker,A. Vera-Tucker,20
4240723,Carter,Warren,Carter Warren,Carter Warren,C. Warren,20
4705711,Leander,Wiegand,Leander Wiegand,Leander Wiegand,L. Wiegand,20
4569618,Garrett,Wilson,Garrett Wilson,Garrett Wilson,G. Wilson,20
